-0.0997	3.0636	0	0	-0.0997	3.0636	0	2.75	0	1
0.0359043	2.81009	0.279575	1.13532	0.0247144	2.74709	-0.022	3.0991	-0.1097	0.994
0.0325795	3.6621	-0.011891	1.96024	0.0287	3.7195	-0.0938	3.4924	-0.2334	0.9724
-0.367675	3.94928	-1.05841	0.614764	-0.33688	3.75803	-0.2143	3.8735	-0.3535	0.9354
-0.596494	4.12095	-0.515934	0.404914	-0.5753	4.107	-0.3817	4.2365	-0.4679	0.8838
-0.558061	4.40078	0.103048	0.898416	-0.523452	4.33008	-0.5932	4.5757	-0.575	0.8181
-0.50379	4.8357	0.137674	1.11211	-0.5035	4.8496	-0.8456	4.8857	-0.673	0.7396
-1.13962	4.95065	-1.73175	0.563923	-1.10946	4.61954	-1.1348	5.1616	-0.7604	0.6494
-1.36369	5.51852	-0.507735	1.53023	-1.3202	5.5802	-1.4564	5.3991	-0.8358	0.549
-1.83651	5.75511	-1.31157	0.840977	-1.78173	5.46604	-1.8051	5.5945	-0.898	0.4399
-2.23535	5.54325	-0.945405	-0.713236	-2.2097	5.4395	-2.1756	5.7445	-0.9461	0.3239
-2.42922	5.69497	-0.338537	0.236191	-2.4572	5.93884	-2.562	5.847	-0.9792	0.2028
-2.88866	5.86206	-1.19785	0.48058	-2.9284	5.888	-2.9582	5.9002	-0.9969	0.0785
-3.29374	5.92265	-1.03168	0.1856	-3.24816	5.84249	-3.3579	5.9033	-0.9989	-0.0471
-3.74628	5.64767	-1.0489	-0.747941	-3.7333	5.5935	-3.7549	5.8563	-0.9851	-0.1719
-4.31509	5.42207	-1.19024	-0.881317	-4.50303	5.62115	-4.1429	5.76	-0.9558	-0.294
-4.60383	5.46098	-0.804708	0.100548	-4.6018	5.5067	-4.5157	5.6157	-0.9114	-0.4115
-4.90091	5.25564	-0.771631	-0.521732	-4.849	5.1624	-4.8675	5.4259	-0.8526	-0.5225
-5.01406	5.22449	-0.322891	-0.117153	-4.9996	5.2372	-5.1927	5.1935	-0.7804	-0.6252
-5.37286	5.11191	-0.821392	-0.413526	-5.49907	5.16408	-5.4863	4.9222	-0.6959	-0.7181
-5.62701	4.68473	-0.557558	-1.10312	-5.6019	4.6461	-5.7435	4.6162	-0.6004	-0.7997
-5.79445	4.44415	-0.769328	-0.303794	-5.6034	4.35864	-5.9603	4.2804	-0.4955	-0.8686
-6.47535	3.82086	-1.64896	-1.44984	-6.5062	3.7857	-6.1333	3.92	-0.3827	-0.9239
-6.516	3.8727	0.124067	0.200384	-6.34707	3.95716	-6.2599	3.5408	-0.2639	-0.9646
-6.39881	3.14305	0.478195	-1.66098	-6.3543	3.0721	-6.3378	3.1487	-0.1409	-0.99
-6.43976	2.60062	-0.231619	-1.29878	-6.48518	2.62713	-6.3661	2.75	-0.0157	-0.9999
-6.2009	2.3417	0.663461	-0.703691	-6.1507	2.3542	-6.3441	2.3509	0.1097	-0.994
-6.02112	1.77923	0.326203	-1.42103	-5.96657	1.71696	-6.2723	1.9576	0.2334	-0.9724
-6.1888	1.38013	-0.530317	-0.971351	-6.2477	1.4055	-6.1518	1.5765	0.3535	-0.9355
-5.95569	1.28599	0.972287	-0.227999	-5.94604	1.31587	-5.9844	1.2135	0.4679	-0.8838
-5.7081	0.963484	0.580156	-0.784463	-5.7319	0.9459	-5.7729	0.8743	0.575	-0.8182
-5.36982	0.393631	0.558457	-1.43549	-5.15556	0.358333	-5.5205	0.5643	0.673	-0.7396
-5.28017	0.207463	0.172568	-0.438852	-5.3088	0.2453	-5.2312	0.2884	0.7604	-0.6495
-4.59896	-0.0503447	1.43959	-0.658251	-4.17048	-0.0425707	-4.9097	0.0509	0.8358	-0.549
-4.71346	-0.0304626	-0.517475	0.0712808	-4.8443	-0.0035	-4.5609	-0.1444	0.898	-0.44
-4.41375	-0.299987	1.07322	-0.725892	-4.3284	-0.28997	-4.1904	-0.2945	0.9461	-0.3239
-4.064	-0.669147	0.847515	-0.937417	-4.0791	-0.6772	-3.804	-0.397	0.9792	-0.2028
-3.72776	-0.333792	0.414473	0.83843	-3.36363	-0.285219	-3.4079	-0.4502	0.9969	-0.0785
-3.17905	-0.164141	1.49417	0.364107	-3.1129	-0.1767	-3.0081	-0.4533	0.9989	0.0471
-2.89359	-0.437771	0.808397	-0.753627	-3.04723	-0.53247	-2.6112	-0.4063	0.9851	0.1719
-2.37968	-0.407151	1.34479	0.310488	-2.3438	-0.3604	-2.2232	-0.31	0.9558	0.294
-1.84507	-0.141113	1.43997	0.702405	-1.88577	-0.143202	-1.8504	-0.1657	0.9114	0.4115
-1.47701	0.222284	0.840608	0.996231	-1.5159	0.2338	-1.4986	0.0241	0.8527	0.5225
-1.15021	0.234166	0.514814	0.13972	-0.847244	0.198996	-1.1734	0.2565	0.7804	0.6252
-0.935454	0.416798	0.57345	0.566842	-0.9356	0.4382	-0.8798	0.5278	0.6959	0.7181
-0.636922	0.848384	0.624889	1.22654	-0.577256	0.801946	-0.6226	0.8338	0.6004	0.7997
-0.366564	1.19683	0.6405	0.775118	-0.3611	1.1714	-0.4058	1.1697	0.4955	0.8686
-0.205022	1.64778	0.413502	0.722179	-0.248239	1.9181	-0.2327	1.53	0.3827	0.9239
0.025955	2.15127	0.653116	1.33729	0.0363	2.1921	-0.1062	1.9092	0.2639	0.9645
-0.133075	2.45359	-0.477672	0.507354	-0.105367	2.42051	-0.0282	2.3013	0.1409	0.99
-0.13893	2.77583	0.111726	0.841517	-0.112	2.7997	0	2.7	0.0157	0.9999
-0.0205439	3.09822	0.292565	1.2403	-0.0169221	2.86635	0.011	3.0997	0.0785	0.9969
0.0246006	3.50539	0.0690534	0.987198	0.0152	3.4886	0.0704	3.4949	0.2028	0.9792
0.313689	4.00388	0.754795	0.692321	0.366124	4.32784	0.1789	3.8797	0.324	0.9461
0.433207	4.212	0.22365	0.496774	0.4114	4.1987	0.3348	4.2478	0.44	0.898
0.511483	4.43077	0.184078	0.469357	0.516067	4.47967	0.5356	4.5934	0.5491	0.8358
0.709359	4.85719	0.534539	1.1478	0.7256	4.9035	0.7781	4.9112	0.6495	0.7604
0.9025	5.17836	0.450803	0.615365	0.9086	5.20885	1.0585	5.1961	0.7397	0.673
1.09331	5.59683	0.488102	1.10312	1.0973	5.6292	1.3724	5.4436	0.8182	0.575
1.34157	5.80761	0.591309	0.305321	1.3556	5.8159	1.7149	5.6497	0.8838	0.4679
2.05072	5.90137	1.76205	0.264222	2.093	5.9066	2.0805	5.8114	0.9355	0.3534
2.57575	6.15847	1.11312	0.311849	2.62886	6.37731	2.4635	5.9259	0.9724	0.2334
2.71438	6.19909	0.322448	0.0271269	2.6786	6.1713	2.8578	5.9915	0.994	0.1097
3.10476	6.02072	1.15208	-0.201036	3.06425	5.82747	3.2572	6.0072	0.9999	-0.0157
3.72437	5.89122	1.53198	-0.306896	3.7379	5.8897	3.6555	5.9727	0.99	-0.1409
4.04966	5.78208	0.974154	0.0119583	3.86816	5.60586	4.0463	5.8886	0.9646	-0.2639
4.52096	5.75922	1.17459	-0.0395868	4.5293	5.7599	4.4234	5.7562	0.9239	-0.3827
4.59916	5.57267	0.459947	-0.110229	4.30916	5.27571	4.781	5.5775	0.8686	-0.4955
5.20857	5.38302	1.49726	-0.364229	5.2533	5.3886	5.1134	5.3554	0.7997	-0.6004
5.57187	5.21276	0.668916	-0.604551	5.5989	5.27162	5.4153	5.0934	0.7181	-0.6959
5.63353	5.08289	0.165591	-0.38609	5.6113	5.0839	5.682	4.7956	0.6252	-0.7804
5.92277	4.62088	1.15492	-0.877385	5.74343	4.38433	5.9093	4.4668	0.5225	-0.8527
6.17537	4.29377	0.615541	-0.875363	6.1473	4.2844	6.0936	4.1121	0.4115	-0.9114
6.38185	3.78953	0.411115	-1.34913	6.40647	3.77607	6.2319	3.737	0.294	-0.9558
6.535	3.40329	0.418816	-0.985008	6.541	3.4181	6.3222	3.3476	0.1719	-0.9851
6.42919	3.23546	-0.250663	-0.347048	6.30967	3.2417	6.3629	2.95	0.0471	-0.9989
6.48936	2.49834	0.0796484	-1.72973	6.4927	2.4512	6.3535	2.5503	-0.0785	-0.9969
6.23339	1.90893	-0.437637	-1.38375	6.00103	1.86752	6.2941	2.155	-0.2028	-0.9792
6.15575	1.83366	-0.118911	-0.244733	6.1847	1.8759	6.1856	1.7703	-0.3239	-0.9461
5.96816	1.29081	-0.64467	-1.48264	5.94683	1.24081	6.0297	1.4022	-0.44	-0.898
5.71863	0.830944	-0.607333	-1.15438	5.7238	0.8433	5.8289	1.0565	-0.549	-0.8358
5.58184	0.692629	-0.44261	-0.294006	5.67644	0.750207	5.5864	0.7388	-0.6495	-0.7604
5.2777	0.645511	-0.804579	-0.107233	5.2537	0.6519	5.306	0.4539	-0.7396	-0.673
5.12572	0.353514	-0.741356	-0.822312	5.37615	0.333749	4.992	0.2064	-0.8182	-0.575
4.80445	-0.0582361	-0.813221	-1.04442	4.7989	-0.067	4.6496	0.0002	-0.8838	-0.4679
